,par_idparcela,Nomenclatura,Tipo_Parcela,Tipo_Valuacion,Estado,desig_oficial,exp_creacion,Fecha_Creacion,fecha_alta_parcela,fxf,vut_vigente,Valuacion,vigencia_desde,porcentaje_copropiedad,Superficie_Tierra_Urbana,Valuacion_Tierra_Urbana,base_imponible_tierra_urbana,Superficie_Tierra_Rural,Valuacion_Tierra_Rural,base_imponible_tierra_rural,Superficie_Mejoras,Valuacion_Mejoras,base_imponible_mejoras,Cantidad_Cuentas,departamento,pedania,localidad,par_entityid,row_number,Nro_Cuenta,ped_nomenclatura,type,coordinates
0,1203768-SANTIAGO,2305604701106015,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 20 LT 4,00000547611,01-1901,03-2007,0.9,175.0,5537086.92,2023-11-01T00:00:00Z,0.0,750.0,118125.0,0,0,0.0,0,324.0,5418961.92,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541105,1005674,230505476111,2305,MultiPolygon,"[[[[4350928.75785053, 6515347.99293916], [4350935.78908077, 6515350.11793145], [4350940.85156642, 6515351.05542762], [4350941.44531411, 6515348.36793527], [4350977.25771173, 6515351.30541882], [4350976.22646844, 6515366.25295057], [4350960.17218318, 6515364.93551884], [4350927.28273644, 6515362.23657584], [4350928.75785053, 6515347.99293916]]]]"
1,1204557-SANTIAGO,2305604702003002,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 19 LT 11,00001091244,01-1901,03-2007,0.8,945.0,5873522.59,2023-11-01T00:00:00Z,0.0,1176.0,889056.0,0,0,0.0,0,269.0,4984466.59,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,292778402,1006377,230510912441,2305,MultiPolygon,"[[[[4353722.43797935, 6518400.0772389], [4353709.6880056, 6518352.10863067], [4353733.93793434, 6518345.76489377], [4353737.31292739, 6518358.51485609], [4353746.59415829, 6518393.51475266], [4353722.43797935, 6518400.0772389]]]]"
2,2494815-SANTIAGO,2305414801150101,URBANO,VAL. URBANO,BALDIO,MZ 150 LOTE 101,0033-121970/2021,01-2022,09-2021,0.9,735.0,711883.81,2023-11-01T00:00:00Z,0.0,1195.74,711883.81,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,1576940404,1882877,230542894232,2305,MultiPolygon,"[[[[4354292.93, 6513247.5], [4354292.06, 6513209.3], [4354327.54, 6513209.36], [4354327.48, 6513239.36], [4354292.93, 6513247.5]]]]"
3,1202911-SANTIAGO,2305604701051004,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 1-LTE 3,00000633159,01-1901,03-2007,0.5,595.0,3288017.54,2024-05-23T00:00:00Z,0.0,5038.0,1498805.0,0,0,0.0,0,476.0,3894607.36,0,2,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542375,1004851,230506331591,2305,MultiPolygon,"[[[[4350605.85284789, 6516776.30137773], [4350609.134099, 6516823.67623985], [4350565.94672699, 6516840.01995213], [4350561.91548694, 6516832.58247457], [4350554.19675809, 6516827.73874031], [4350571.54044732, 6516779.17637703], [4350605.85284789, 6516776.30137773]]]]"
4,2053702-SANTIAGO,2305104601004036,URBANO,VAL. URBANO,BALDIO,MZ S/D  LT 37,0576-001815/2009,01-2010,04-2011,0.7,140.0,183456.0,2023-11-01T00:00:00Z,0.0,1872.0,183456.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,COPINA,92898124,1659269,230525044781,2305,MultiPolygon,"[[[[4338885.85019939, 6507720.9857761], [4338826.76688014, 6507721.59417557], [4338819.72767883, 6507693.35838896], [4338897.02100041, 6507692.56247539], [4338885.85019939, 6507720.9857761]]]]"
5,1203314-SANTIAGO,2305604701079002,URBANO,VAL. URBANO,BALDIO,MZ 36 LTE 3,00000503952,01-1901,03-2007,0.8,490.0,365736.0,2023-11-01T00:00:00Z,0.0,933.0,365736.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541550,1005224,230505039527,2305,MultiPolygon,"[[[[4351025.22646143, 6515970.83486579], [4351045.16390441, 6515972.45985666], [4351041.22642646, 6516020.678468], [4351021.53898201, 6516015.70973675], [4351023.41397155, 6515992.86605244], [4351025.22646143, 6515970.83486579]]]]"
6,1203745-SANTIAGO,2305604701105006,URBANO,VAL. URBANO,BALDIO,MZ 29 LT 11,    -      /,01-1901,03-2007,1.0,175.0,105000.0,2023-11-01T00:00:00Z,0.0,600.0,105000.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541102,1005651,230505413771,2305,MultiPolygon,"[[[[4351128.13228042, 6515363.68034958], [4351088.28864432, 6515360.3991179], [4351089.5073875, 6515345.46166085], [4351097.69486409, 6515346.11790713], [4351129.3510236, 6515348.71164261], [4351128.13228042, 6515363.68034958]]]]"
7,1202113-SANTIAGO,2305604701011006,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 12 LTE 13,,01-1901,03-2007,1.0,735.0,5011434.0,2023-11-01T00:00:00Z,0.0,566.0,416010.0,0,0,0.0,0,261.0,4595424.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542605,1004140,230517188471,2305,MultiPolygon,"[[[[4352004.00517753, 6517251.7371917], [4352012.31765762, 6517269.9246372], [4351997.06770306, 6517276.89337037], [4351986.72398394, 6517281.83085837], [4351978.41150386, 6517263.64341285], [4351989.03647215, 6517258.58092517], [4352004.00517753, 6517251.7371917]]]]"
8,1205119-SANTIAGO,2305604702030009,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 27-LTE 9,00001091344,01-1901,03-2007,1.0,490.0,2572849.84,2023-11-01T00:00:00Z,0.0,563.0,275870.0,0,0,0.0,0,145.0,2296979.84,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542869,1006888,230510913448,2305,MultiPolygon,"[[[[4352987.81489782, 6517495.79876883], [4352998.62736893, 6517506.04873679], [4353001.06486133, 6517503.45499376], [4353005.0023508, 6517507.14248221], [4353002.53360849, 6517509.76747516], [4353005.53360048, 6517512.64246618], [4352996.93987723, 6517521.73619172], [4352988.40865379, 6517530.82991725], [4352971.90869788, 6517515.14246631], [4352987.81489782, 6517495.79876883]]]]"
9,1201064-SANTIAGO,2305414801040010,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 31 LT 1,,01-1901,03-2007,1.0,595.0,2906195.04,2023-11-01T00:00:00Z,0.0,540.0,321300.0,0,0,0.0,0,130.0,2584895.04,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,370857802,1003185,230517196741,2305,MultiPolygon,"[[[[4353975.34170137, 6512636.62450043], [4353978.52919541, 6512651.28070737], [4353943.31054831, 6512658.8744431], [4353940.15430418, 6512644.21823614], [4353975.34170137, 6512636.62450043]]]]"
